"Parcel ID","Address","Sale Date","Sale Price","Qualified Sales","Reason","Acres","Parcel  Class ","Year  Built ","Square Ft ","Price Per  Square Ft ","Neighborhood"
"171C4 B003","319 S CHURCH ST","11/21/2014","$126,000.00","Qualified","FM","0","Residential","1988","1296","$97.22","5043R-TALMADGE CLOSE"
"171C4 B003","319 S CHURCH ST","2/28/2019","$180,000.00","Qualified","FM","0","Residential","1988","1296","$138.89","5043R-TALMADGE CLOSE"
"171C4 B001","315 S CHURCH ST","1/30/2019","$173,000.00","Qualified","FM","0","Residential","1988","1296","$133.49","5043R-TALMADGE CLOSE"
"171C4 B010","341 S CHURCH ST","1/25/2019","$165,000.00","Qualified","FM","0","Residential","1988","1296","$127.31","5043R-TALMADGE CLOSE"
"171C4 B007","335 S CHURCH ST","6/29/2018","$163,000.00","Qualified","FM","0","Residential","1988","1296","$125.77","5043R-TALMADGE CLOSE"
"171C4 B006","327 S CHURCH ST","8/9/2016","$150,000.00","Qualified","FM","0","Residential","1988","1296","$115.74","5043R-TALMADGE CLOSE"
"171C4 B002","317 S CHURCH ST","5/13/2016","$147,000.00","Qualified","FM","0","Residential","1988","1296","$113.43","5043R-TALMADGE CLOSE"
"171C4 A001B","365 S CHURCH ST","8/13/2015","$134,000.00","Qualified","FM","0","Residential","1910","1264","$106.01","5043R-TALMADGE CLOSE"
"171C4 A001A","365 S CHURCH ST","12/30/2014","$160,500.00","Qualified","FM","0","Residential","1910","2095","$76.61","5043R-TALMADGE CLOSE"
